Country,State,City,StationName,PM25,AQI,MainPollutant,PM10,SO2,CO,NO2,Ozone
USA,Pennsylvania,Pittsburgh,Parkway East (Near Road),16.67,61,PM2.5,,,,,
USA,Pennsylvania,Pittsburgh,Parkway East (Near Road),6.33,26,PM2.5,,,,,
USA,Pennsylvania,Pittsburgh,Parkway East (Near Road),8.49,35,PM2.5,,,,,
USA,Pennsylvania,Pittsburgh,Parkway East (Near Road),7.6,31,PM2.5,,,,,
USA,Pennsylvania,Pittsburgh,Parkway East (Near Road),14.8,57,PM2.5,,,,,
USA,Pennsylvania,Pittsburgh,Parkway East (Near Road),12.88,53,PM2.5,,,,,
USA,Pennsylvania,Pittsburgh,Parkway East (Near Road),6.06,25,PM2.5,,,,,
USA,Pennsylvania,Pittsburgh,Parkway East (Near Road),5.83,24,PM2.5,,,,,
USA,Pennsylvania,Pittsburgh,Parkway East (Near Road),26.55,81,PM2.5,,,,,
USA,Pennsylvania,Pittsburgh,Parkway East (Near Road),6.96,29,PM2.5,,,,,
USA,Pennsylvania,Pittsburgh,Parkway East (Near Road),8.25,34,PM2.5,,,,,
USA,Pennsylvania,Pittsburgh,Parkway East (Near Road),7.38,30,PM2.5,,,,,
USA,Pennsylvania,Pittsburgh,Parkway East (Near Road),9.05,37,PM2.5,,,,,
USA,Pennsylvania,Pittsburgh,Parkway East (Near Road),7.16,30,PM2.5,,,,,
USA,Pennsylvania,Pittsburgh,Parkway East (Near Road),11.71,48,PM2.5,,,,,
USA,Pennsylvania,Pittsburgh,Parkway East (Near Road),5.38,22,PM2.5,,,,,
USA,Pennsylvania,Pittsburgh,Parkway East (Near Road),26.67,82,PM2.5,,,,,
USA,Pennsylvania,Pittsburgh,Parkway East (Near Road),7.48,31,PM2.5,,,,,
USA,Pennsylvania,Pittsburgh,Parkway East (Near Road),7.13,29,PM2.5,,,,,
USA,Pennsylvania,Pittsburgh,Parkway East (Near Road),11.97,49,PM2.5,,,,,
USA,Pennsylvania,Pittsburgh,Parkway East (Near Road),9.28,38,PM2.5,,,,,
USA,Pennsylvania,Pittsburgh,Parkway East (Near Road),8.64,36,PM2.5,,,,,
USA,Pennsylvania,Pittsburgh,Parkway East (Near Road),8.64,36,PM2.5,,,,,
USA,Pennsylvania,Glassport,Glassport High Street,6.56,27,PM2.5,10.08,,,,
USA,Pennsylvania,Glassport,Glassport High Street,9.46,39,PM2.5,30.91,,,,
USA,Pennsylvania,Glassport,Glassport High Street,13.33,55,PM10,62.74,,,,
USA,Pennsylvania,Glassport,Glassport High Street,5.13,21,PM2.5,6.08,,,,
USA,Pennsylvania,Glassport,Glassport High Street,5.42,22,PM2.5,7.92,,,,
USA,Pennsylvania,Glassport,Glassport High Street,10.48,43,PM2.5,14.13,,,,
USA,Pennsylvania,Glassport,Glassport High Street,5.71,24,PM2.5,6.79,,,,
USA,Pennsylvania,Glassport,Glassport High Street,12.79,52,PM2.5,18.13,,,,
USA,Pennsylvania,Glassport,Glassport High Street,7.41,31,PM2.5,10.83,,,,
USA,Pennsylvania,Glassport,Glassport High Street,3.71,15,PM2.5,4.25,,,,
USA,Pennsylvania,Glassport,Glassport High Street,13.26,53,PM2.5,25.33,,,,
USA,Pennsylvania,Glassport,Glassport High Street,13.05,53,PM2.5,28.58,,,,
USA,Pennsylvania,Glassport,Glassport High Street,7.86,32,PM2.5,11.55,,,,
USA,Pennsylvania,Glassport,Glassport High Street,7.67,32,PM2.5,12.46,,,,
USA,Pennsylvania,Pittsburgh,Parkway East (Near Road),12.83,53,PM2.5,,,,40.19,
USA,Pennsylvania,Pittsburgh,Parkway East (Near Road),5.63,23,PM2.5,,,,13.3,
USA,Pennsylvania,Glassport,Glassport High Street,4.92,20,PM2.5,6.54,,,,
USA,Pennsylvania,Glassport,Glassport High Street,8.83,36,PM2.5,14.43,,,,
USA,Pennsylvania,Pittsburgh,Parkway East (Near Road),6.83,28,PM2.5,,,,19.04,
USA,Pennsylvania,Pittsburgh,Parkway East (Near Road),5.09,21,PM2.5,,,,13.28,
USA,Pennsylvania,Pittsburgh,Parkway East (Near Road),24.62,77,PM2.5,,,,14.44,
USA,Pennsylvania,Glassport,Glassport High Street,3.38,14,PM2.5,3.75,,,,
USA,Pennsylvania,Millvale,Manchester,9.57,40,PM2.5,,,,,
USA,Pennsylvania,Millvale,Manchester,7.34,30,PM2.5,,,,,
USA,Pennsylvania,Millvale,Manchester,8.29,34,PM2.5,,,,,
USA,Pennsylvania,Millvale,Manchester,6.86,28,PM2.5,,,,,
USA,Pennsylvania,Millvale,Manchester,5.02,21,PM2.5,8.15,,,,
USA,Pennsylvania,Millvale,Manchester,18.38,64,PM2.5,,,,,
USA,Pennsylvania,Millvale,Manchester,14.63,56,PM2.5,28.57,,,,
USA,Pennsylvania,Millvale,Manchester,4.23,17,PM2.5,7.22,,,,
